frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,http.request.method,http.host,http.request.uri,http.response.code,dns.qry.name,dns.a
"1","Feb 27, 2024 00:03:08.830780000 PST",,,,,,,,,,,,
"2","Feb 27, 2024 00:03:08.835441000 PST",,,,,,,,,,,,
"3","Feb 27, 2024 00:03:08.933646000 PST",,,,,,,,,,,,
"4","Feb 27, 2024 00:03:08.933754000 PST",,,,,,,,,,,,
"5","Feb 27, 2024 00:03:09.036140000 PST",,,,,,,,,,,,
"6","Feb 27, 2024 00:03:09.037364000 PST",,,,,,,,,,,,
"7","Feb 27, 2024 00:03:09.038437000 PST",,,,,,,,,,,,
"8","Feb 27, 2024 00:03:09.040729000 PST",,,,,,,,,,,,
"9","Feb 27, 2024 00:03:09.040785000 PST",,,,,,,,,,,,
"10","Feb 27, 2024 00:03:11.273947000 PST","192.168.254.9","172.217.12.142",,,"52433","443",,,,,,
"11","Feb 27, 2024 00:03:11.274619000 PST","192.168.254.9","172.217.12.142",,,"52433","443",,,,,,
"12","Feb 27, 2024 00:03:11.275531000 PST","192.168.254.9","172.217.12.142",,,"52433","443",,,,,,
"13","Feb 27, 2024 00:03:11.275702000 PST","192.168.254.9","172.217.12.142",,,"52433","443",,,,,,
"14","Feb 27, 2024 00:03:11.275918000 PST","192.168.254.9","172.217.12.142",,,"52433","443",,,,,,
"15","Feb 27, 2024 00:03:11.276032000 PST","192.168.254.9","172.217.12.142",,,"52433","443",,,,,,
"16","Feb 27, 2024 00:03:11.526244000 PST","172.217.12.142","192.168.254.9",,,"443","52433",,,,,,
"17","Feb 27, 2024 00:03:11.526244000 PST","172.217.12.142","192.168.254.9",,,"443","52433",,,,,,
"18","Feb 27, 2024 00:03:11.526419000 PST","172.217.12.142","192.168.254.9",,,"443","52433",,,,,,
"19","Feb 27, 2024 00:03:11.527069000 PST","172.217.12.142","192.168.254.9",,,"443","52433",,,,,,
"20","Feb 27, 2024 00:03:11.527645000 PST","192.168.254.9","172.217.12.142",,,"52433","443",,,,,,
"21","Feb 27, 2024 00:03:11.527969000 PST","192.168.254.9","172.217.12.142",,,"52433","443",,,,,,
"22","Feb 27, 2024 00:03:11.554458000 PST","192.168.254.9","172.217.12.142",,,"52433","443",,,,,,
"23","Feb 27, 2024 00:03:11.558247000 PST","172.217.12.142","192.168.254.9",,,"443","52433",,,,,,
"24","Feb 27, 2024 00:03:11.558247000 PST","172.217.12.142","192.168.254.9",,,"443","52433",,,,,,
"25","Feb 27, 2024 00:03:11.559004000 PST","192.168.254.9","172.217.12.142",,,"52433","443",,,,,,
"26","Feb 27, 2024 00:03:11.772034000 PST","172.217.12.142","192.168.254.9",,,"443","52433",,,,,,
"27","Feb 27, 2024 00:03:11.772034000 PST","172.217.12.142","192.168.254.9",,,"443","52433",,,,,,
"28","Feb 27, 2024 00:03:11.773273000 PST","192.168.254.9","172.217.12.142",,,"52433","443",,,,,,
"29","Feb 27, 2024 00:03:12.015996000 PST","172.217.12.142","192.168.254.9",,,"443","52433",,,,,,
"30","Feb 27, 2024 00:03:13.946326000 PST",,,,,,,,,,,,
"31","Feb 27, 2024 00:03:13.947726000 PST",,,,,,,,,,,,
"32","Feb 27, 2024 00:03:13.948123000 PST",,,,,,,,,,,,
"33","Feb 27, 2024 00:03:13.949488000 PST",,,,,,,,,,,,
"34","Feb 27, 2024 00:03:13.949488000 PST",,,,,,,,,,,,
"35","Feb 27, 2024 00:03:13.949530000 PST",,,,,,,,,,,,
"36","Feb 27, 2024 00:03:13.949778000 PST",,,,,,,,,,,,
"37","Feb 27, 2024 00:03:13.975939000 PST","192.168.254.254","192.168.254.9",,,"53851","137",,,,,,
"38","Feb 27, 2024 00:03:13.976105000 PST","192.168.254.9","192.168.254.254",,,"137","53851",,,,,,
"39","Feb 27, 2024 00:03:15.830476000 PST",,,,,,,,,,,,
"40","Feb 27, 2024 00:03:15.836385000 PST",,,,,,,,,,,,
"41","Feb 27, 2024 00:03:18.955790000 PST",,,,,,,,,,,,
"42","Feb 27, 2024 00:03:18.957171000 PST",,,,,,,,,,,,
"43","Feb 27, 2024 00:03:18.957422000 PST",,,,,,,,,,,,
"44","Feb 27, 2024 00:03:18.959285000 PST",,,,,,,,,,,,
"45","Feb 27, 2024 00:03:18.959285000 PST",,,,,,,,,,,,
"46","Feb 27, 2024 00:03:18.959336000 PST",,,,,,,,,,,,
"47","Feb 27, 2024 00:03:18.959563000 PST",,,,,,,,,,,,
"48","Feb 27, 2024 00:03:23.964521000 PST",,,,,,,,,,,,
"49","Feb 27, 2024 00:03:23.964662000 PST",,,,,,,,,,,,
"50","Feb 27, 2024 00:03:23.987162000 PST",,,,,,,,,,,,
"51","Feb 27, 2024 00:03:23.988264000 PST",,,,,,,,,,,,
"52","Feb 27, 2024 00:03:23.989355000 PST",,,,,,,,,,,,
"53","Feb 27, 2024 00:03:23.990357000 PST",,,,,,,,,,,,
"54","Feb 27, 2024 00:03:23.990415000 PST",,,,,,,,,,,,
"55","Feb 27, 2024 00:03:28.974748000 PST",,,,,,,,,,,,
"56","Feb 27, 2024 00:03:28.976682000 PST",,,,,,,,,,,,
"57","Feb 27, 2024 00:03:28.977749000 PST",,,,,,,,,,,,
"58","Feb 27, 2024 00:03:28.978896000 PST",,,,,,,,,,,,
"59","Feb 27, 2024 00:03:28.978896000 PST",,,,,,,,,,,,
"60","Feb 27, 2024 00:03:28.978928000 PST",,,,,,,,,,,,
"61","Feb 27, 2024 00:03:28.979119000 PST",,,,,,,,,,,,
"62","Feb 27, 2024 00:03:32.261543000 PST","192.168.254.9","20.198.119.143","49721","443",,,,,,,,
"63","Feb 27, 2024 00:03:32.431904000 PST","20.198.119.143","192.168.254.9","443","49721",,,,,,,,
"64","Feb 27, 2024 00:03:32.478540000 PST","192.168.254.9","20.198.119.143","49721","443",,,,,,,,
"65","Feb 27, 2024 00:03:33.983772000 PST",,,,,,,,,,,,
"66","Feb 27, 2024 00:03:33.984979000 PST",,,,,,,,,,,,
"67","Feb 27, 2024 00:03:33.985858000 PST",,,,,,,,,,,,
"68","Feb 27, 2024 00:03:33.987173000 PST",,,,,,,,,,,,
"69","Feb 27, 2024 00:03:33.987173000 PST",,,,,,,,,,,,
"70","Feb 27, 2024 00:03:33.987212000 PST",,,,,,,,,,,,
"71","Feb 27, 2024 00:03:33.987393000 PST",,,,,,,,,,,,
"72","Feb 27, 2024 00:03:38.996594000 PST",,,,,,,,,,,,
"73","Feb 27, 2024 00:03:38.996666000 PST",,,,,,,,,,,,
"74","Feb 27, 2024 00:03:39.040660000 PST",,,,,,,,,,,,
"75","Feb 27, 2024 00:03:39.041838000 PST",,,,,,,,,,,,
"76","Feb 27, 2024 00:03:39.044021000 PST",,,,,,,,,,,,
"77","Feb 27, 2024 00:03:39.045281000 PST",,,,,,,,,,,,
"78","Feb 27, 2024 00:03:39.045308000 PST",,,,,,,,,,,,
"79","Feb 27, 2024 00:03:44.003892000 PST",,,,,,,,,,,,
"80","Feb 27, 2024 00:03:44.007228000 PST",,,,,,,,,,,,
"81","Feb 27, 2024 00:03:44.008336000 PST",,,,,,,,,,,,
"82","Feb 27, 2024 00:03:44.009366000 PST",,,,,,,,,,,,
"83","Feb 27, 2024 00:03:44.009366000 PST",,,,,,,,,,,,
"84","Feb 27, 2024 00:03:44.009412000 PST",,,,,,,,,,,,
"85","Feb 27, 2024 00:03:44.009643000 PST",,,,,,,,,,,,
"86","Feb 27, 2024 00:03:49.013981000 PST",,,,,,,,,,,,
"87","Feb 27, 2024 00:03:49.015122000 PST",,,,,,,,,,,,
"88","Feb 27, 2024 00:03:49.016116000 PST",,,,,,,,,,,,
"89","Feb 27, 2024 00:03:49.017365000 PST",,,,,,,,,,,,
"90","Feb 27, 2024 00:03:49.017365000 PST",,,,,,,,,,,,
"91","Feb 27, 2024 00:03:49.017395000 PST",,,,,,,,,,,,
